Date,Week_Numeric,Week_String,Sleep_Metric_Type,Value_in_Seconds,Rested
7/9/2025,4,Wednesday,Sleep Duration + Naps,38820,No
7/10/2025,5,Thursday,Sleep Duration + Naps,34800,No
7/11/2025,6,Friday,Sleep Duration + Naps,31020,Yes
7/12/2025,7,Saturday,Sleep Duration + Naps,29760,No
7/13/2025,1,Sunday,Sleep Duration + Naps,26640,Yes
8/11/2024,1,Sunday,Sleep Duration - Wakeups,10800,No
8/12/2024,2,Monday,Sleep Duration - Wakeups,24600,Yes
8/13/2024,3,Tuesday,Sleep Duration - Wakeups,26400,Yes
8/14/2024,4,Wednesday,Sleep Duration - Wakeups,19800,No
8/15/2024,5,Thursday,Sleep Duration - Wakeups,30900,No
8/16/2024,6,Friday,Sleep Duration - Wakeups,26100,Yes
8/17/2024,7,Saturday,Sleep Duration - Wakeups,25020,No
8/18/2024,1,Sunday,Sleep Duration - Wakeups,25560,No
8/19/2024,2,Monday,Sleep Duration - Wakeups,28740,No
8/20/2024,3,Tuesday,Sleep Duration - Wakeups,22500,No
8/21/2024,4,Wednesday,Sleep Duration - Wakeups,28800,Yes
8/22/2024,5,Thursday,Sleep Duration - Wakeups,25800,No
8/23/2024,6,Friday,Sleep Duration - Wakeups,21600,No
8/24/2024,7,Saturday,Sleep Duration - Wakeups,24060,No
8/25/2024,1,Sunday,Sleep Duration - Wakeups,28800,Yes
8/26/2024,2,Monday,Sleep Duration - Wakeups,28500,Yes
8/27/2024,3,Tuesday,Sleep Duration - Wakeups,25260,Yes
8/28/2024,4,Wednesday,Sleep Duration - Wakeups,26700,No
8/29/2024,5,Thursday,Sleep Duration - Wakeups,28800,Yes
8/30/2024,6,Friday,Sleep Duration - Wakeups,32160,No
8/31/2024,7,Saturday,Sleep Duration - Wakeups,32100,No
9/1/2024,1,Sunday,Sleep Duration - Wakeups,27000,No
9/2/2024,2,Monday,Sleep Duration - Wakeups,30960,Yes
9/3/2024,3,Tuesday,Sleep Duration - Wakeups,22560,No
9/4/2024,4,Wednesday,Sleep Duration - Wakeups,26220,No
9/6/2024,6,Friday,Sleep Duration - Wakeups,22980,No
9/7/2024,7,Saturday,Sleep Duration - Wakeups,23760,No
9/8/2024,1,Sunday,Sleep Duration - Wakeups,33660,No
9/9/2024,2,Monday,Sleep Duration - Wakeups,28800,No
9/10/2024,3,Tuesday,Sleep Duration - Wakeups,28440,Yes
9/11/2024,4,Wednesday,Sleep Duration - Wakeups,27300,Yes
9/12/2024,5,Thursday,Sleep Duration - Wakeups,26220,Yes
9/13/2024,6,Friday,Sleep Duration - Wakeups,30120,No
9/14/2024,7,Saturday,Sleep Duration - Wakeups,24900,Yes
9/15/2024,1,Sunday,Sleep Duration - Wakeups,29460,Yes
9/16/2024,2,Monday,Sleep Duration - Wakeups,28920,Yes
9/17/2024,3,Tuesday,Sleep Duration - Wakeups,24720,No
9/18/2024,4,Wednesday,Sleep Duration - Wakeups,32400,No
9/19/2024,5,Thursday,Sleep Duration - Wakeups,27600,No
9/20/2024,6,Friday,Sleep Duration - Wakeups,30180,Yes
9/21/2024,7,Saturday,Sleep Duration - Wakeups,27180,Yes
9/22/2024,1,Sunday,Sleep Duration - Wakeups,28320,Yes
9/23/2024,2,Monday,Sleep Duration - Wakeups,28200,Yes
9/24/2024,3,Tuesday,Sleep Duration - Wakeups,27240,Yes
9/25/2024,4,Wednesday,Sleep Duration - Wakeups,23880,Yes
9/26/2024,5,Thursday,Sleep Duration - Wakeups,29700,No
9/27/2024,6,Friday,Sleep Duration - Wakeups,28200,No
9/28/2024,7,Saturday,Sleep Duration - Wakeups,27000,No
9/29/2024,1,Sunday,Sleep Duration - Wakeups,23460,Yes
9/30/2024,2,Monday,Sleep Duration - Wakeups,18900,Yes
10/1/2024,3,Tuesday,Sleep Duration - Wakeups,29220,Yes
10/2/2024,4,Wednesday,Sleep Duration - Wakeups,26160,No
10/3/2024,5,Thursday,Sleep Duration - Wakeups,30960,Yes
10/4/2024,6,Friday,Sleep Duration - Wakeups,29940,Yes
10/5/2024,7,Saturday,Sleep Duration - Wakeups,28260,Yes
10/6/2024,1,Sunday,Sleep Duration - Wakeups,29040,Yes
10/7/2024,2,Monday,Sleep Duration - Wakeups,30300,No
10/8/2024,3,Tuesday,Sleep Duration - Wakeups,28560,Yes
10/9/2024,4,Wednesday,Sleep Duration - Wakeups,28800,Yes
10/10/2024,5,Thursday,Sleep Duration - Wakeups,24840,Yes
10/11/2024,6,Friday,Sleep Duration - Wakeups,26460,No
10/12/2024,7,Saturday,Sleep Duration - Wakeups,23460,No
10/13/2024,1,Sunday,Sleep Duration - Wakeups,30540,Yes
10/14/2024,2,Monday,Sleep Duration - Wakeups,22320,No
10/15/2024,3,Tuesday,Sleep Duration - Wakeups,30240,Yes
10/16/2024,4,Wednesday,Sleep Duration - Wakeups,28440,Yes
10/17/2024,5,Thursday,Sleep Duration - Wakeups,31500,Yes
10/18/2024,6,Friday,Sleep Duration - Wakeups,28200,Yes
10/19/2024,7,Saturday,Sleep Duration - Wakeups,26160,Yes
10/20/2024,1,Sunday,Sleep Duration - Wakeups,25260,Yes
10/21/2024,2,Monday,Sleep Duration - Wakeups,26460,No
10/22/2024,3,Tuesday,Sleep Duration - Wakeups,24960,No
10/23/2024,4,Wednesday,Sleep Duration - Wakeups,25320,Yes
10/24/2024,5,Thursday,Sleep Duration - Wakeups,36660,No
10/25/2024,6,Friday,Sleep Duration - Wakeups,25380,Yes
10/26/2024,7,Saturday,Sleep Duration - Wakeups,29880,No
10/27/2024,1,Sunday,Sleep Duration - Wakeups,25140,No
10/28/2024,2,Monday,Sleep Duration - Wakeups,28560,Yes
10/29/2024,3,Tuesday,Sleep Duration - Wakeups,26880,Yes
10/30/2024,4,Wednesday,Sleep Duration - Wakeups,29820,Yes
10/31/2024,5,Thursday,Sleep Duration - Wakeups,24120,Yes
11/1/2024,6,Friday,Sleep Duration - Wakeups,26400,No
11/2/2024,7,Saturday,Sleep Duration - Wakeups,19860,No
11/3/2024,1,Sunday,Sleep Duration - Wakeups,28020,No
11/4/2024,2,Monday,Sleep Duration - Wakeups,23820,Yes
11/5/2024,3,Tuesday,Sleep Duration - Wakeups,27660,Yes
11/6/2024,4,Wednesday,Sleep Duration - Wakeups,31140,Yes
11/7/2024,5,Thursday,Sleep Duration - Wakeups,24060,Yes
11/8/2024,6,Friday,Sleep Duration - Wakeups,24780,Yes
11/9/2024,7,Saturday,Sleep Duration - Wakeups,32340,Yes
11/10/2024,1,Sunday,Sleep Duration - Wakeups,25320,Yes
11/11/2024,2,Monday,Sleep Duration - Wakeups,18660,Yes
11/12/2024,3,Tuesday,Sleep Duration - Wakeups,39360,No
11/13/2024,4,Wednesday,Sleep Duration - Wakeups,36600,No
11/14/2024,5,Thursday,Sleep Duration - Wakeups,25680,No
11/15/2024,6,Friday,Sleep Duration - Wakeups,19200,Yes
11/16/2024,7,Saturday,Sleep Duration - Wakeups,34440,Yes
11/17/2024,1,Sunday,Sleep Duration - Wakeups,30960,No
11/18/2024,2,Monday,Sleep Duration - Wakeups,25380,Yes
11/19/2024,3,Tuesday,Sleep Duration - Wakeups,29460,No
11/20/2024,4,Wednesday,Sleep Duration - Wakeups,25440,No
11/21/2024,5,Thursday,Sleep Duration - Wakeups,28500,Yes
11/22/2024,6,Friday,Sleep Duration - Wakeups,26880,Yes
11/23/2024,7,Saturday,Sleep Duration - Wakeups,26700,Yes
11/24/2024,1,Sunday,Sleep Duration - Wakeups,30780,Yes
11/25/2024,2,Monday,Sleep Duration - Wakeups,33720,No
11/26/2024,3,Tuesday,Sleep Duration - Wakeups,39240,No
11/27/2024,4,Wednesday,Sleep Duration - Wakeups,25560,Yes
11/28/2024,5,Thursday,Sleep Duration - Wakeups,30120,Yes
11/29/2024,6,Friday,Sleep Duration - Wakeups,28860,No
11/30/2024,7,Saturday,Sleep Duration - Wakeups,32100,No
12/1/2024,1,Sunday,Sleep Duration - Wakeups,28200,Yes
12/2/2024,2,Monday,Sleep Duration - Wakeups,23700,No
12/3/2024,3,Tuesday,Sleep Duration - Wakeups,37020,No
12/4/2024,4,Wednesday,Sleep Duration - Wakeups,23400,No
12/5/2024,5,Thursday,Sleep Duration - Wakeups,25800,No
12/6/2024,6,Friday,Sleep Duration - Wakeups,7200,Yes
12/7/2024,7,Saturday,Sleep Duration - Wakeups,28800,Yes
12/8/2024,1,Sunday,Sleep Duration - Wakeups,28920,Yes
12/9/2024,2,Monday,Sleep Duration - Wakeups,24480,No
12/10/2024,3,Tuesday,Sleep Duration - Wakeups,27900,Yes
12/11/2024,4,Wednesday,Sleep Duration - Wakeups,29820,Yes
12/12/2024,5,Thursday,Sleep Duration - Wakeups,30240,Yes
12/13/2024,6,Friday,Sleep Duration - Wakeups,30540,Yes
12/14/2024,7,Saturday,Sleep Duration - Wakeups,30480,Yes
12/15/2024,1,Sunday,Sleep Duration - Wakeups,35100,No
12/16/2024,2,Monday,Sleep Duration - Wakeups,21900,No
12/17/2024,3,Tuesday,Sleep Duration - Wakeups,29340,No
12/18/2024,4,Wednesday,Sleep Duration - Wakeups,29820,Yes
12/19/2024,5,Thursday,Sleep Duration - Wakeups,28980,Yes
12/20/2024,6,Friday,Sleep Duration - Wakeups,22260,No
12/21/2024,7,Saturday,Sleep Duration - Wakeups,26520,No
12/22/2024,1,Sunday,Sleep Duration - Wakeups,25680,No
12/23/2024,2,Monday,Sleep Duration - Wakeups,26340,No
12/24/2024,3,Tuesday,Sleep Duration - Wakeups,21840,No
12/25/2024,4,Wednesday,Sleep Duration - Wakeups,33360,No
12/26/2024,5,Thursday,Sleep Duration - Wakeups,21000,No
12/27/2024,6,Friday,Sleep Duration - Wakeups,31560,No
12/28/2024,7,Saturday,Sleep Duration - Wakeups,26760,No
12/29/2024,1,Sunday,Sleep Duration - Wakeups,35760,No
12/30/2024,2,Monday,Sleep Duration - Wakeups,21420,No
12/31/2024,3,Tuesday,Sleep Duration - Wakeups,19140,No
1/1/2025,4,Wednesday,Sleep Duration - Wakeups,36060,No
1/2/2025,5,Thursday,Sleep Duration - Wakeups,34920,Yes
1/3/2025,6,Friday,Sleep Duration - Wakeups,31020,Yes
1/4/2025,7,Saturday,Sleep Duration - Wakeups,24120,No
1/5/2025,1,Sunday,Sleep Duration - Wakeups,38220,No
1/6/2025,2,Monday,Sleep Duration - Wakeups,26460,Yes
1/7/2025,3,Tuesday,Sleep Duration - Wakeups,24300,Yes
1/8/2025,4,Wednesday,Sleep Duration - Wakeups,13380,No
1/9/2025,5,Thursday,Sleep Duration - Wakeups,23760,No
1/10/2025,6,Friday,Sleep Duration - Wakeups,24540,No
1/11/2025,7,Saturday,Sleep Duration - Wakeups,31560,Yes
1/12/2025,1,Sunday,Sleep Duration - Wakeups,26280,No
1/13/2025,2,Monday,Sleep Duration - Wakeups,16020,No
1/14/2025,3,Tuesday,Sleep Duration - Wakeups,29340,Yes
1/15/2025,4,Wednesday,Sleep Duration - Wakeups,28860,No
1/16/2025,5,Thursday,Sleep Duration - Wakeups,25800,Yes
1/17/2025,6,Friday,Sleep Duration - Wakeups,30720,No
1/18/2025,7,Saturday,Sleep Duration - Wakeups,27480,Yes
1/19/2025,1,Sunday,Sleep Duration - Wakeups,37440,Yes
1/20/2025,2,Monday,Sleep Duration - Wakeups,39060,No
1/21/2025,3,Tuesday,Sleep Duration - Wakeups,37020,Yes
1/22/2025,4,Wednesday,Sleep Duration - Wakeups,22380,No
1/23/2025,5,Thursday,Sleep Duration - Wakeups,30600,Yes
1/24/2025,6,Friday,Sleep Duration - Wakeups,30180,Yes
1/25/2025,7,Saturday,Sleep Duration - Wakeups,23160,Yes
1/26/2025,1,Sunday,Sleep Duration - Wakeups,15060,No
1/27/2025,2,Monday,Sleep Duration - Wakeups,31920,No
1/28/2025,3,Tuesday,Sleep Duration - Wakeups,15960,Yes
1/29/2025,4,Wednesday,Sleep Duration - Wakeups,24660,No
1/30/2025,5,Thursday,Sleep Duration - Wakeups,27000,Yes
1/31/2025,6,Friday,Sleep Duration - Wakeups,31260,Yes
2/1/2025,7,Saturday,Sleep Duration - Wakeups,38280,Yes
2/2/2025,1,Sunday,Sleep Duration - Wakeups,41640,Yes
2/3/2025,2,Monday,Sleep Duration - Wakeups,26340,No
2/4/2025,3,Tuesday,Sleep Duration - Wakeups,27540,No
2/5/2025,4,Wednesday,Sleep Duration - Wakeups,29940,No
2/6/2025,5,Thursday,Sleep Duration - Wakeups,29940,No
2/7/2025,6,Friday,Sleep Duration - Wakeups,27660,Yes
2/8/2025,7,Saturday,Sleep Duration - Wakeups,26340,No
2/9/2025,1,Sunday,Sleep Duration - Wakeups,30000,Yes
2/10/2025,2,Monday,Sleep Duration - Wakeups,24780,Yes
2/11/2025,3,Tuesday,Sleep Duration - Wakeups,29280,Yes
2/12/2025,4,Wednesday,Sleep Duration - Wakeups,27960,No
2/13/2025,5,Thursday,Sleep Duration - Wakeups,29220,Yes
2/14/2025,6,Friday,Sleep Duration - Wakeups,29340,Yes
2/15/2025,7,Saturday,Sleep Duration - Wakeups,32160,Yes
2/16/2025,1,Sunday,Sleep Duration - Wakeups,29460,No
2/17/2025,2,Monday,Sleep Duration - Wakeups,8820,No
2/18/2025,3,Tuesday,Sleep Duration - Wakeups,29700,Yes
2/19/2025,4,Wednesday,Sleep Duration - Wakeups,31620,No
2/20/2025,5,Thursday,Sleep Duration - Wakeups,21180,Yes
2/21/2025,6,Friday,Sleep Duration - Wakeups,35880,No
2/22/2025,7,Saturday,Sleep Duration - Wakeups,28260,Yes
2/23/2025,1,Sunday,Sleep Duration - Wakeups,18900,Yes
2/24/2025,2,Monday,Sleep Duration - Wakeups,30720,Yes
2/25/2025,3,Tuesday,Sleep Duration - Wakeups,24180,No
2/26/2025,4,Wednesday,Sleep Duration - Wakeups,23100,Yes
2/27/2025,5,Thursday,Sleep Duration - Wakeups,23040,Yes
2/28/2025,6,Friday,Sleep Duration - Wakeups,32460,Yes
3/1/2025,7,Saturday,Sleep Duration - Wakeups,31380,Yes
3/2/2025,1,Sunday,Sleep Duration - Wakeups,27660,Yes
3/3/2025,2,Monday,Sleep Duration - Wakeups,31680,No
3/4/2025,3,Tuesday,Sleep Duration - Wakeups,30900,No
3/5/2025,4,Wednesday,Sleep Duration - Wakeups,35520,No
3/6/2025,5,Thursday,Sleep Duration - Wakeups,16500,Yes
3/7/2025,6,Friday,Sleep Duration - Wakeups,6240,Yes
3/8/2025,7,Saturday,Sleep Duration - Wakeups,24480,Yes
3/9/2025,1,Sunday,Sleep Duration - Wakeups,24960,Yes
3/10/2025,2,Monday,Sleep Duration - Wakeups,31140,Yes
3/11/2025,3,Tuesday,Sleep Duration - Wakeups,26040,Yes
3/12/2025,4,Wednesday,Sleep Duration - Wakeups,34560,Yes
3/13/2025,5,Thursday,Sleep Duration - Wakeups,29820,Yes
3/14/2025,6,Friday,Sleep Duration - Wakeups,35700,No
3/15/2025,7,Saturday,Sleep Duration - Wakeups,22380,Yes
3/16/2025,1,Sunday,Sleep Duration - Wakeups,34920,No
3/17/2025,2,Monday,Sleep Duration - Wakeups,14760,No
3/18/2025,3,Tuesday,Sleep Duration - Wakeups,31680,Yes
3/19/2025,4,Wednesday,Sleep Duration - Wakeups,31320,Yes
3/20/2025,5,Thursday,Sleep Duration - Wakeups,31620,No
3/21/2025,6,Friday,Sleep Duration - Wakeups,25320,Yes
3/22/2025,7,Saturday,Sleep Duration - Wakeups,20580,Yes
3/23/2025,1,Sunday,Sleep Duration - Wakeups,31620,No
3/24/2025,2,Monday,Sleep Duration - Wakeups,20940,Yes
3/25/2025,3,Tuesday,Sleep Duration - Wakeups,31200,Yes
3/26/2025,4,Wednesday,Sleep Duration - Wakeups,31260,Yes
3/27/2025,5,Thursday,Sleep Duration - Wakeups,31080,No
3/28/2025,6,Friday,Sleep Duration - Wakeups,20940,Yes
3/29/2025,7,Saturday,Sleep Duration - Wakeups,21900,Yes
3/30/2025,1,Sunday,Sleep Duration - Wakeups,32100,Yes
3/31/2025,2,Monday,Sleep Duration - Wakeups,36300,Yes
4/1/2025,3,Tuesday,Sleep Duration - Wakeups,25620,No
4/2/2025,4,Wednesday,Sleep Duration - Wakeups,9360,No
4/3/2025,5,Thursday,Sleep Duration - Wakeups,24480,Yes
4/4/2025,6,Friday,Sleep Duration - Wakeups,22260,Yes
4/5/2025,7,Saturday,Sleep Duration - Wakeups,33480,Yes
4/6/2025,1,Sunday,Sleep Duration - Wakeups,19500,No
4/7/2025,2,Monday,Sleep Duration - Wakeups,29340,Yes
4/8/2025,3,Tuesday,Sleep Duration - Wakeups,26640,No
4/9/2025,4,Wednesday,Sleep Duration - Wakeups,20880,Yes
4/10/2025,5,Thursday,Sleep Duration - Wakeups,29400,Yes
4/11/2025,6,Friday,Sleep Duration - Wakeups,30660,Yes
4/12/2025,7,Saturday,Sleep Duration - Wakeups,31620,No
4/13/2025,1,Sunday,Sleep Duration - Wakeups,11460,No
4/14/2025,2,Monday,Sleep Duration - Wakeups,14580,Yes
4/15/2025,3,Tuesday,Sleep Duration - Wakeups,21960,Yes
4/16/2025,4,Wednesday,Sleep Duration - Wakeups,35520,Yes
4/17/2025,5,Thursday,Sleep Duration - Wakeups,31620,Yes
4/18/2025,6,Friday,Sleep Duration - Wakeups,30540,Yes
4/19/2025,7,Saturday,Sleep Duration - Wakeups,32520,Yes
4/20/2025,1,Sunday,Sleep Duration - Wakeups,25200,No
4/21/2025,2,Monday,Sleep Duration - Wakeups,27360,No
4/22/2025,3,Tuesday,Sleep Duration - Wakeups,19860,No
4/23/2025,4,Wednesday,Sleep Duration - Wakeups,26700,No
4/24/2025,5,Thursday,Sleep Duration - Wakeups,26460,Yes
4/25/2025,6,Friday,Sleep Duration - Wakeups,22140,No
4/26/2025,7,Saturday,Sleep Duration - Wakeups,24840,Yes
4/27/2025,1,Sunday,Sleep Duration - Wakeups,27060,Yes
4/28/2025,2,Monday,Sleep Duration - Wakeups,25860,Yes
4/29/2025,3,Tuesday,Sleep Duration - Wakeups,26580,Yes
4/30/2025,4,Wednesday,Sleep Duration - Wakeups,27960,No
5/1/2025,5,Thursday,Sleep Duration - Wakeups,14760,No
5/2/2025,6,Friday,Sleep Duration - Wakeups,23040,Yes
5/3/2025,7,Saturday,Sleep Duration - Wakeups,29520,Yes
5/4/2025,1,Sunday,Sleep Duration - Wakeups,28800,Yes
5/5/2025,2,Monday,Sleep Duration - Wakeups,25560,No
5/6/2025,3,Tuesday,Sleep Duration - Wakeups,36120,No
5/7/2025,4,Wednesday,Sleep Duration - Wakeups,30840,Yes
5/8/2025,5,Thursday,Sleep Duration - Wakeups,22020,Yes
5/9/2025,6,Friday,Sleep Duration - Wakeups,28440,Yes
5/10/2025,7,Saturday,Sleep Duration - Wakeups,26340,Yes
5/11/2025,1,Sunday,Sleep Duration - Wakeups,28200,No
5/12/2025,2,Monday,Sleep Duration - Wakeups,18720,No
5/13/2025,3,Tuesday,Sleep Duration - Wakeups,28620,Yes
5/14/2025,4,Wednesday,Sleep Duration - Wakeups,30300,Yes
5/15/2025,5,Thursday,Sleep Duration - Wakeups,25560,Yes
5/16/2025,6,Friday,Sleep Duration - Wakeups,27840,No
5/17/2025,7,Saturday,Sleep Duration - Wakeups,23940,No
5/18/2025,1,Sunday,Sleep Duration - Wakeups,27660,Yes
5/19/2025,2,Monday,Sleep Duration - Wakeups,29280,No
5/20/2025,3,Tuesday,Sleep Duration - Wakeups,30120,Yes
5/21/2025,4,Wednesday,Sleep Duration - Wakeups,27540,Yes
5/22/2025,5,Thursday,Sleep Duration - Wakeups,28800,Yes
5/23/2025,6,Friday,Sleep Duration - Wakeups,29580,No
5/24/2025,7,Saturday,Sleep Duration - Wakeups,24240,No
5/25/2025,1,Sunday,Sleep Duration - Wakeups,19380,No
5/26/2025,2,Monday,Sleep Duration - Wakeups,24360,Yes
5/27/2025,3,Tuesday,Sleep Duration - Wakeups,27600,No
5/28/2025,4,Wednesday,Sleep Duration - Wakeups,27600,No
5/29/2025,5,Thursday,Sleep Duration - Wakeups,25560,No
